"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Trachypithecus_auratus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_cristatus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_phayrei","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_obscurus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_francoisi","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_delacouri","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Trachypithecus_pileatus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Semnopithecus_entellus","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_johnii","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Trachypithecus_vetulus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Trachypithecus_geei","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_thomasi","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,0,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_frontata","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,0,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_potenziani","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,0,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_hosei","Cercopithecidae",1,"con to both","conspicuous",1,0,1,1,"Partial",0,1,1,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_rubicunda","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,0,"Both",0,0,1,0,1,"Cercopithecoidea"
"Presbytis_femoralis","Cercopithecidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Cercopithecoidea"
"Presbytis_comata","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Cercopithecoidea"
"Presbytis_melalophos","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,0,"Both",0,0,1,0,1,"Cercopithecoidea"
"Rhinopithecus_bieti","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Rhinopithecus_roxellana","Cercopithecidae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,1,"Both",0,0,1,0,1,"Cercopithecoidea"
"Rhinopithecus_brelichi","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Rhinopithecus_avunculus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Pygathrix_nigripes","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Pygathrix_nemaeus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Pygathrix_cinerea","Cercopithecidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Cercopithecoidea"
"Simias_concolor","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Nasalis_larvatus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Procolobus_rufomitratus","Cercopithecidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Cercopithecoidea"
"Procolobus_pennantii","Cercopithecidae",0,"maybe","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Cercopithecoidea"
