"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"hylobatidae","hylobates","agilis",NA,1,"cheek hair is longer in males grueter, longer genital tuft in males (50 mm) marshall, mootnick",NA,"Head,Pubis",1,1,0,"contrast varies, infants have face ring treves 1-3, “a.a.albibarbis offspring become same color as same-sex adults”, marshall",1,"Partial","Multiple",2,"M: also have white cheeks, males have complete face ring, pubic tuft is tawny in albibarbis F: only have white eyebrows, pubic tuft is dark brown in albibarbis marshall, grueter, mootnick"
"hylobatidae","hylobates","klossii",NA,0,NA,NA,NA,0,0,1,"no treves 2,7",0,NA,NA,0,NA
"hylobatidae","hylobates","lar",NA,0,NA,NA,NA,0,0,1,"asexually polychromatic treves 2,3,8",0,NA,NA,0,NA
"hylobatidae","hylobates","moloch",NA,0,NA,NA,NA,0,1,0,"infants are lighter rowe 996, no treves 2,7, turn to grey shortly after birth mootnick, marshall",0,NA,NA,0,NA
"hylobatidae","hylobates","muelleri",NA,0,"males genital tuft is 25 mm long mootnick, which is not longer than adjacent fur marshall",NA,NA,0,1,4,"varies treves 2,3,8, infants are lighter mootnick, can either look like adults, have a broad whitish or gray face ring, or be buff all over marshall",1,"Partial","Head",2,"M: pale, incomplete face ring. F: can be darker rowe 118, grueter"
"hylobatidae","hylobates","pileatus",NA,1,"white pubic tuft in males grueter 2015, mootnick",NA,"Pubis",1,1,2,"cream-colored fur, sub-adult males look like females until maturity, rowe 999, con to dad, infants grey to buff chest, crown or center of chest first to change, mootnick treves 1-3",1,"Complete",NA,1,"M: black with white accents. F: silver buff with black accents rowe 999, mootnick"
"indridae","indri","indri",NA,0,NA,NA,NA,0,1,4,"born with pigmented coats that later develop patterns tapanes, Infants are extremely dark or completely black and develop whiter areas between 4 and 6 months of age.",0,NA,NA,0,NA
"cebidae","oreonax","flavicauda",NA,1,"males have a long yellow pubic hair tuft, females have two short pubic hair tufts miller 1931, grueter 2015, emmons",NA,"Pubis",3,0,1,NA,0,NA,NA,0,NA
"cebidae","lagothrix","lagotricha",NA,1,"males have long, stiff hair around the scrotum, elongated hairs in a tuft on the chest, pubic tuft a little different between sexes hill",NA,"Pubis",3,1,0,"infants are straw colored emmons, natal coat is lighter rowe 684, l.l. poeppigii no contrast but there is a natal coat treves 10,23 dorsal changes first, uniformly grey hill",0,NA,NA,0,NA
"lemuridae","lemur","catta",NA,0,NA,NA,NA,0,0,1,"no treves 67,68,71",0,NA,NA,0,NA
